director
Uwe Boll
"Jason Friedberg, Aaron Seltzer"
Robert Rodriguez
Tom Six
Sean McNamara
Bob Clark
Prabhu Deva
Harold P. Warren
Antoni Krauze
Claudio Fragasso
Rupert Wainwright
Courtney Solomon
Joel Schumacher
Arthur Allan Seidelman
Togan Gökbakar
"Barbara Bialowas, Tomasz Mandes"
Remo D'Souza
"Malcolm D. Lee, David Zucker"
Andrzej Bartkowiak
David Hogan
Sophia Takal
Kartal Tibet
John Suits
Tamra Davis
Chris Fisher
Ali Abbas Zafar
Tom Brady
Bob Spiers
"Aaron Seltzer, Jason Friedberg"
Roger Christian
James Nguyen
Don Michael Paul
Peter MacDonald
Robert Iscove
Lawrence Kasanoff
Sylvain White
Kim Henkel
"William Heins, Strathford Hamilton"
Vondie Curtis-Hall
Joseph Sargent
Ulli Lommel
Farah Khan
Lawrence Guterman
Ahmed Khan
Tom Putnam
Pitof
Darren Doane
Valerie Breiman
Tom Hooper
John R. Leonetti
Kenneth Johnson
Stewart Raffill
"Matt Angel, Suzanne Coote"
Dennis Dugan
John McTiernan
Brian Levant
William Malone
Albert Pyun
Tommy Wiseau
Nabil Elderkin
"Lawrence Raghavendra, Balakrishnan Thevar"
Punit Malhotra
John Gulager
Vic Armstrong
Joe Alves
Chris Sivertson
Kamil Cetin
James Wong
Neil LaBute
Paul Michael Glaser
Tony Leondis
Josh Stolberg
Celal Çimen
Michael Tiddes
Bo Zenga
Perry Andelin Blake
Sidney J. Furie
Troy Miller
Fred Savage
Rick Sloane
Martin Brest
Marco Schnabel
Alan Metter
David Dhawan
Hyung-rae Shim
Nicholas Webster
Christopher Leitch
